카테고리,주제,내용
외모문제,끔찍한 내 몸매,저는 여중생입니다. 저의 가장 큰 고민은 뚱뚱한 것입니다. 살을 빼려고 결심을 했지만 생각만큼 쉬운 일이 아니고 사춘기때 찐 살은 잘 빠지지 않는다는 얘기에 걱정도 많이 돼요. 집안에서는 저한테 관심도 없어서 제가 살을 빼고 싶어하는데도 음식을 살찌는 것으로만 만들어 줍니다. 운동을 해서 빼야겠는데 중3이고 수험생이라 그럴 시간도 별로 없어요. 요즘은 저한테 스스로 짜증이 나고 외모때문에 밖에 나가기도 싫어 외출도 하지 않고 있어요... 
외모문제,코가 커서 고민,남들보다 코가 너무 크다. 사람들이 모두 내코만 보는것 같아서 밖에 나가기 조차 싫다. 이런 생각이 옳지 않다는 것도 알지만 쉽사리 벗어나지지가 않는다. 심리학 책이나 다른 정신치료에 관련된 책도 읽어 보지만 그때 뿐이고 코에 대한 컴플렉스 때문에 너무나 믿은 고통을 겪는다. 어떻게 하면 이런 상황에서 벗어날 수 있겠는가?
외모문제,외모에 대한 열등감,대학에 다니고 있는 남학생이다. 보통 성인 남자들에 비해 나의 체격이 외소하고 얼굴도 어려보여서 평소에 많은 컴플렉스를 가지고 있다. 가끔 주위사람들 특히 내가 좋아하는 여자 친구가 나의 외모에 대해 이러쿵저러쿵 얘기를 할 때면 나의 모습이 더욱 초라해 보여서 내가 싫어지고 화까지 난다. 외모 때문에 사람들의 웃음거리가 되고 무시당한다고 생각하면 정말 살고 싶지 않다. 좀 더 남성다운 근육질과 잘생긴 외모로 사람들에게 호감을 사고 싶다.
이성문제,좋아하는 오빠가 저 같은 여자는 싫대요 ,"저는 고등학교 2학년 여학생 경아라고 합니다. 고3 오빠를 사랑하게 되어 일방적으로 1년 동안 수십통의 편지를 써 보냈습니다. 그러나 답장도 없고 만나주질 않아 그 오빠를 찾아갔더니 ""나는 너같은 여자는 싫어한다""고 했습니다. 저는 그 순간 충격뿐 아니라 며칠 동안 잠을 못 이룬 채 누구와도 말하기 싫고 밥도 먹을 수 없었습니다. 그런 마음의 병은 고쳐지질 않고 자꾸 저주스럽고 밉고, 제 자신도 수치심에 죽고 싶은 생각뿐 이었습니다. "
이성문제,교회에 다니는 누나 생각 때문에 공부가 안되요 ,고1 남학생입니다. 평소에 집에서만 지내다가 최근에 친구의 권유로 교회를 다니고 있습니다. 그런데 교회에 나오는 여학생 중에 2학년 누나가 있는데 저에게 친근하게 잘해줍니다. 그런데 요즘은 누나 생각을 자제할 수가 없고 누나생각 때문에 공부도 잘 되지 않습니다. 
이성문제,여자를 사귀면 부담이 됩니다 ,"안녕하세요. 저는 전문대에 다니는 남학생입니다. 고3때 단지 상대가 여자라는 이유만으로 호기심이 생겨서 어떤 여학생을 사귀게 되었지요. 그러다가 갑자기 나 자신이 아깝기도 하고. 그녀가 부담스럽기도 하고. 공부 문제도 있고 해서 그냥 무조건 헤어졌습니다. 그러다가 작년 말에 또 한 여자를 만났습니다. 전 이상하게 새로운 여자를 만날 때면 굉장히 호기심, 긴장감 등이 생기는데 한 달만 지나면 부담스럽고 솔직히 귀찮고 그럽니다. 전 지금 군대가기 전에 다른 대학 다른 과에 편입하려고 공부중이거든요. 정말 여자 만나는 시간이 아깝고 돈도 아깝고 이런 생각이 드는 거 보면 그녀를 정말 사랑하지 않는 거 아닐까요? "
이성문제,이성에 대한 호기심이 생겨요,안녕하세요? 저는 성에 대해 관심을 가지지 않으면서도 호기심이 많은 중학교 1학년 소녀입니다. 얼굴도 못생긴 제가 무슨 할말이 있겠습니까만... T.V 를 볼 때도 야한 장면이 나오면 가슴이 두근두근거려요. 처음에는 그 장면을 피하려 했지만 요즘은 너무 자주 보게 되어 오히려 자꾸 보고 싶어진답니다. 여학생이 이런 면이 있는 줄은 모르셨을 거예요. 친구들은 못생기든 예쁘든 남자 친구 한 명씩은 있는 것 같은데 전 남자 친구라곤 한 명도 없어요. 저도 사실 사춘기 시절에 남자 친구 한 명쯤은 사귀고 싶어요. 하지만 그게 잘 안 되요. 그리고 친하게 지내는 친구도 없어서 학교에선 참 쓸쓸하답니다. 전 어떡하죠? ** 올림 
이성문제,사촌 오빠가 이성으로 보여요,"안녕하세요? 저는 중3을 갓 올라온 여학생입니다. 요즘 저는 어떻게 해야할 지 잘 모르겠습니다. 몇 달 전부터 어떤 오빠를 무척 좋아하게 되었습니다. 근데 그 오빠는 다름 아닌 저의 사촌오빠입니다. 요즘도 자꾸만 그 오빠가 보고 싶고, 어쩌다 한번씩 만나게 되면 오빠는 나를 사촌동생으로 대해 주는데 저는 이성으로 생각하고 있답니다. 그럴 때마다 '왜 나 혼자서, 그것도 사촌오빠를․․․?' 하고 스스로에게 몇 번이고 의문을 던지지만, 그래도 오빠에 대한 감정이 쉽사리 사라지지 않습니다. 저는 어떡하죠? "
이성문제,감정 처리가 안돼요 ,저... 실은 요즘에 실연을 당했습니다. 그땐 죽고 싶었는데 요즘은 괜찮아졌습니다. 그런데 계속 허전하고 그리워집니다. 어쩌죠. 
이성문제,이성 생각을 많이 해요,"6학년이죠. 요즘 이성에 대한 생각을 자주 해요. 저의 사촌 오빠는 중3인데 어떤 여학생과 사귀었어요. 그런데 이 일을 부모님께 들켜 버렸고, 사촌 오빠와 그 여학생이 통화한 내용까지 다 알게 되었어요. 오빠는 부모님께 심하게 꾸중들었나 봐요. ""아직은 학생이다. 여자 친구는 대학가서 사귀어도 늦지 않다. 지금은 공부에 열중해라."" 대부분의 부모님은 이렇게 생각하나 봐요. 하지만 꼭 그렇게 판단해야 할까요? 우리들의 입장에서 한번 생각해 봐 주셨으면 좋겠어요. 선생님은 어떻게 생각하세요? "
이성문제,서먹서먹한 관계 ,"10대 후반의 남학생입니다. 지난겨울 방학 때부터 한 여자아이를 사귀게 되었는데요, 그 애는 남자 애들 사이에서 인기가 많죠. 한동안 친하게 지내다가 조금씩 사이게 멀어지게 됐어요. 전 그 애에게 사랑한다고 말했는데 그 애는 그저 친구사이로 지내자고만 했습니다. 부담스럽다고요. 그런데 이제는 자연스럽게 잘 지내는 친구 사이도 아니라 절 만나길 싫어하는 것 같았습니다. 저와 눈길도 마주치지 않으려는 그 애를 볼 때마다 힘들고 스트레스 받습니다. 그 때문에 성적도 엉망입니다. 어떡하면 좋죠? "
이성문제,친구의 여자 친구가 좋아져요 ,저는 고등학교에 다니는 남학생입니다. 친한 친구가 있는데 그 친구가 한 여자아이를 좋아하고 있어요. 그런데 글쎄요. 저도 그만 친구가 좋아하는 그 여자아이를 좋아하게 되었습니다. 이럴 땐 어떻게 해야 합니까?
이성문제,친구 엄마를 좋아해요 ,안녕하세요? 저는 19살인 고 3학 남학생인데 친구의 엄마에 대한 제 행동이 너무한 것 같아서 걱정입니다. 친구와 저는 친해서 항상 붙어 다닙니다. 그런데 그 친구의 엄마가 너무 좋아요. 아니 좋아할 뿐만 아니라 정말 사랑하는 것 같아요. 친구 집에 가면 어떤 때는 몰래 빨랫줄에 걸려 있는 친구 엄마의 속옷을 만져 보기도 해요. 그럴 땐 성적으로 흥분이 되기도 하고요. 그래서 집에 돌아와 친구 엄마를 생각하며 자위 행위를 할 때도 있어요. 정말 어쩌죠? 친구 엄마가 이혼을 하고 혼자 키우시기 때문에 저는 친구 엄마와 결혼도 하고 싶을 정도입니다. 제가 미친 걸까요? 
이성문제,다른 사람을 사귈 수도 있을 텐데,현재 대학교에 다니는 여학생으로 사귀는 남학생이 있다. 그는 노력파 남학생으로 남다른 성실함이 있어서 사귀게 되었는데 집안형편이 좀 어렵다. 나는 그 남학생이 믿음직스러웠고 세상에 그 남학생 하나만 이 존재한다고 여겼었다. 그런데 시간이 조금씩 흐르면서 생각이 바뀌어간다. 나보다 못한 애들도 잘난 남자를 사귀는데 나만 괜히 손해 보는 것만 같다 마음먹기에 달렸다고 생각이 되지만 잘 안된다. 어떻게 하면 이 상황에서 극복할 수 있는지 마음가짐을 알려달라. 
진로문제,"인문계고교의 문,이과선택 ",저는 인문계 고등학교에 다니는 1학년 여학생입니다. 얼마전 학교에 서 문.이과를 결정하는 계열선택이 있었는데 어느 쪽을 선택해야 좋을지 몰라 일단 내신등급을 유리하게 받을 수 있는 문과로 결정했는데 과연 잘한 결정인지 계속 불안합니다. 
진로문제,문과계냐 자연계냐 ,"전 지금 고등학교 1학년입니다. 이제 2학년이 되면 계열을 선택해야 하는데 그 선택이 매우 어렵군요. 전 국어는 잘하고, 수학은 잘 못하지만 아무리 생각해도 가고 싶은 학과는 자연계거든요. 자연계를가서 고생하며 열심히하면 모르겠지만 열심히 안하고 내신만 낮아질지 걱정이예요. 그냥 문과계에서 내신 좀 올리면서 조금은 편하게 있을까하기도 합니다. 그런데 그러다가 제가 가고 싶지않은 과에 가서 나중에 후회할까봐 인문계도 선뜻 가질 못하겠어요. 아무리 곰곰히 생각해 봐도 어디로 가야할지 저 자신은 잘 모르겠어요. 조금이나마 도움을 주셨으면 해서 이렇게 말씀 올립니다. "
진로문제,집안형편이 어려울 때 대학진학 방법은요? ,저는 고2 남학생입니다. 곧 고 3이 될텐데 집안 사정이 그리 좋지 못 합니다. 더구나 저는 4남매중 장남이랍니다. 그래서 대학 진학을 고 집할 수도 없고 그렇다고 포기도 안됩니다. 부모님도 걱정이 크신 것 같습니다. 저는 꼭 대학에 가고 싶은데 어떻게 해야 좋을지 모르겠습 니다. 
진로문제,적성검사 결과대로 진로결정해야 되나요 ,고1 여학생입니다. 얼마전 학교에서 받은 적성검사 결과로는 저에게 변호사가 맞다고 나왔는데 저는 변호사보다는 실내디자인을 공부하고 싶습니다. 이런 경우에는 적성검사 결과대로 변호사가 되는 것이 좋 은지요? 
진로문제,원하는 대학에 진학하지 못해 괴로워요 ,저는 대학 1학년 재학중입니다. 그런데 고등학교 때의 사소한 일로 인해 원하는 대학에 진학하지 못했습니다. 그런 현실이 너무 싫고 괴롭습니다. 
진로문제,연예인이 되고 싶다,중학교 1학년에 재학중인 여학생인데 아버지는 외국출장이 잦으시고 엄마는 연극배우이다. 그래서 나도 엄마처럼 배우가 되고 싶은데 부모님은 반대하시고 공부만을 강요 하신다. 더구나 공부도 잘하고 집에서도 인정을 받는 초등학교 4학년에 다니는 남동생을 나와 비교하시는 엄마가 너무 싫다. 부모님은 왜 내가 하고 싶어하는 것을 못하게 하고 나만 미워하시는지 모르겠다.
진로문제,유학가서 새로 시작하고 싶은데,"저는 고 1학생인데요, 고등학교에 오면 정신차리고 공부를 좀 해야지 하고 생각했는데 성적이 엉망이예요. 새로 시작하고 싶은데 여기선 안 될 것 같아 유학을 보내달라고 조르고 있어요. 실패하는 애들도 많지 만, 더 자유롭고 생활도 재밌다는 친구의 편지를 받은 후 더욱더 여기 서 고생할 필요가 없다는 생각이 들면서 공부도 흥이 안납니다. 제 생 각이 잘못된 건가요? "
진로문제,자격증을 따고 싶은데요,올해 2월에 졸업하고 회사에 다니는 예비 숙녀입니다. 학창시절부터 배우고 싶고 따고 싶은 자격증도 많았는데 '돈'과 '시간'이 여의치 않 아 그러질 못했습니다. 지금부터라도 무언가를 많이 배우고 싶은데 그 계획을 어떻게 세우고 어떻게 추진해야 할지 모르겠습니다. 
진로문제,진로선택으로 부모님과 갈등,중학교 3학년이라서 고등학교에 진학하는 것이 무엇보다 시급하다. 부모님은 인문계고등학교에 가서 대학을 목표로 해야 하며 그래야 인간답게 산다고 하신다. 하지만 내 성적으로는 인문계 고등학교에 가기도 어렵거니와 상업고등학교만 나와 취직하여 사회생활을 하고 싶다. 부모님에게 그런 애기를 하면 공부하기 싫어서 그런다고 꾸중만 하시고 내 생각은 전혀 들어보려고 하지도 않으신다. 사람이라면 왜 반드시 대학을 가야하고 그래야만 시집을 잘 간다고 생각하시는지 부모님의 생각을 이해할 수가 없다.
진로문제,학과선택의 갈등,대학입시가 다가오면서 학교와 과를 결정하는 일이 남아 있다. 우리집은 아버지 없이 엄마가 형과 누나 그리고 나까지 삼남매를 키우셨다. 어머니는 자식들중에 누군가가 의사나 법관이 되기를 바라시지만 형과 누나는 모두 자신들이 원하는 과에 진학을 하고 말았다. 그래서 어머니는 마지막 남은 나에게 의대를 가라고 하시지만 나는 국문과에 가서 소설가가 되고 싶다. 글재주가 있어서 백일장에도 여러번 입상을 했고 적성도 내게 맞기 때문이다. 하지만 아버지 없이 어렵게 우리를 키워주신 어머니의 뜻을 저버리자니 마음이 괴롭다.
진로문제,진로선택에서 오는 갈등,"다른 사람은 머리도 좋고 공부도 잘하는데 왜 나만 이렇게 태어났는지 한탄스럽다. 중학교 1, 2학년때만 해도 성적이 반에서 40등정도는 됐는데 지금은 50등 밖으로 밀려나서 이제는 고등학교를 갈 수 있을지도 의문이다. 내꿈은 헤어디자이너가 되는 것인데 이런 성적으로는 대학은 커녕 고등학교도 못 들어갈것 같다. 열심히 공부해야 된다는 것은 알고 있지만 해도 잘 안되고 그러니까 자꾸 놀고만 싶어진다. 어떻게 하면 좋을지 모르겠다. "
진로문제,고등학교 입학에 대한 걱정 ,중2 남학생입니다. 이곳은 시골이라 집에서 좋은 고등학교로 가길 원합니다. 그런데 제가 원하는 곳은 상당히 규율이 엄격한 학교입니다. 아침 7시30분부터 밤11시까지 공부만 해야한답니다. 물론 도망을 쳤을 경우에는 심한 체벌이 따르고요. 그 학교 시험에 붙을 자신도 없고 그곳 생활을 버텨낼 자신도 없습니다. 이럴땐 어떻게 해야하죠? 주변엔 갈만한 다른 고등학교도 없는데……
진로문제,내 뜻대로? 부모님 뜻대로? ,안녕하세요? 저는 이번에 대학 진학을 목표로 하고 있는 수 험생입니다. 전 정말 신학을 공부하고 싶은데 부모님께서는 반대 를 하셔서 어떻게 해야 할지를 모르겠습니다. 제가 신학 공부를 한다면 부모님께선 학비를 전혀 줄 수 없다고까지 말씀을 하고 계십니다. 그래서 전 체육 교육을 목표로 예체능 계열로 시험도 보았고 대학도 체육교육과로 가려고 합니다. 한편으로는 부모님 몰래 신학대에도 원서를 넣어볼 생각입니다. 전 정말로 신학을 공부하고 싶은데 어떻게 해야 할까요? 
진로문제,진로 문제로 고민하고 있습니다,"인문계 고등학교를 다니는 남학생이다. 그런데 성적이 그다지 좋지 못하다. 잘 해야 지방 대학이나 분교, 그렇지 않으면 간신히 전문 대학에나 갈 수 있는 정도이다. 어느 대학을 지원하느냐도 고민이지만 저의 진짜 고민은 무슨 과를 가는 것이 좋을지 전혀 종잡을 수 없다는 것이다. 적성검사도 받아 보았지만 속 시원한 대답을 들을 수 없었다. 공부도 제대로 못하는 주제에 진학할 학과를 걱정한다는 것이 사치스러운 고민일까?"
진로문제,적성검사와 흥미검사 차이로 진로 고민,고등 학교 1학년 학생인데 적성과 흥미가 일치하지 않아 고민이다. 여름 방학 중에 어머니의 권유로 전문 상담 기관을 찾아가 적성검사와 흥미검사를 받았는데 결과표를 보니 적성이 제일 높은 분야와 흥미가 제일 높은 분야가 서로 달랐다. 적성검사에서는 산업 공학 분야가 제일 높았는데 흥미 검사에서는 경영 분야가 제일 높게 나왔다. 집에 와서 결과표를 놓고 식구들끼리 상의하다 보니 아버지와 어머니도 의견이 일치하지 않아 어머니는 경영 분야로 나가라고 하시고 아버지는 장래성이 더 있다며 산업공학 분야를 권하신다. 사실 저는 경영이 뭔지 산업 공학이 뭔지 잘 모른다. 지금 느낌은 괜히 검사를 받아서 아버지와 어머니가 싸움만 하시게 하고 나도 더 혼란스러워진 것 같아서 후회가 된다. 이럴 때는 어떻게 결정을 하는 것이 좋을까? 흥미와 적성이라는 것은 과연 무엇이고 어떤 것이 더 중요한 것인가? 
진로문제,대학진학의 긴장,고3 학생으로 대학진학을 앞두고 바라는 대학에 못가게 될까봐 긴장되고 불안하다. 주의집중이 안되고 정신상태가 산만하여 성적이 좋아지지가 않아서 걱정스럽다. 하루빨리 정신차리고 노력해야 할텐데 자꾸만 휴학이나 자퇴를 하고 싶다. 마음을 잡고 공부에 집중하여 일류대학에 들어가고 싶다.
친구문제,친구와말도하기싫고모두싫어져요,고2 여학생입니다. 저는 원래 활달한 성격으로 많은 친구들과 친하게 지냈는데 언제부터인가 친구들과 관계가 서먹해졌습니다. 친구들이 변한 것 같아요. 그래서 친구들과 말도 하기 싫고 모두 싫어집니다. 친구들 말로는 제가 말수가 적어지고 무뚝뚝해졌다고 합니다. 어떻게 해야 하나요 ? 
친구문제,전학와서친구사귀기가힘들어요,중학교 2학년 남학생입니다. 얼마전 아버지의 직장이 서울로 옮겨지는 바람에 전학을 왔습니다. 이곳 지리도 아직 잘 모르고 모든 것이 서먹서먹한데 그중에서도 친구 사귀는 것이 가장 힘듭니다. 아직 친하게 지낼 친구를 찾지 못하고 있는데 같은 반 아이들은 자기네들끼리만 다녀 따돌림 받는다는 생각까지 들고 학교가기가 싫어집니다. 
친구문제,다른친구들을욕하고다니는친구를피하고싶은데요,저는 초등학교 5학년 여학생입니다. 저희 반에 한 친구가 제 앞에서 다른 친구들 욕을 자주 합니다. 그런데 저는 그 친구 말에 맞장구를 쳐야 할지 어떻게 해야 할지 몰라 가만히 듣고만 있습니다. 그 친구가 자꾸 그러니까 같이 다니는 것도 싫어지고 피하고 싶은데 그렇게 잘 안되어 고민입니다. 
친구문제,친구들이저를따돌리고비꼬듯이얘기해요,"저는 중1 여학생입니다. 학교 성적도 높은 편이고 수업시간에 선생님들의 질문에 대답도 잘하여 선생님들께서 예뻐하십니다. 그런데 친구 들이 저를 따돌리고, 제가 무슨 일만 하려면 비꼬듯이 얘기해서 이제는 앞에 나서기가 두려워요. 요즘은 제가 우울해 하고 발표도 잘 안하 니까 선생님께서는 무슨 일이 있냐고 하시는데 저는 그냥 웃고 맙니다. "
친구문제,친구들이이유없이괴롭혀요,저는 중학교에 다니는 남학생입니다. 같은 학교 친구들이 자꾸 이유없이 괴롭혀 학교가기가 싫어집니다. 돈을 빼앗기도 하고 또 시험 볼 때는 답안지를 보여 달라고 협박하여 선생님 눈치를 살피기도 했는데 부모님과 선생님께 말씀 드리고 싶어도 괜히 잘못하여 그 친구들에게 보복당할까봐 망설이고 있어요. 저는 아침마다 학교가는 시간이 두려 워요. 
친구문제,좋아하는선생님때문에친구관계가어색해졌어요,저는 여고 1학년 학생인데요. 저희 학교 수학선생님은 아이들에게 인기가 많으세요. 저 역시 그 선생님을 너무 좋아하고 있구요. 그런데 제 친구 중에 그 선생님을 좋아하는 아이가 있어 늘 라이벌 의식을 가져왔어요. 이번에도 선생님과 관련되어 별 것 아닌 일로 그 친구와 어색한 관계가 되었어요. 앞으로 안볼 것도 아닌데 어떻게 해야 할지 모르겠어요. 
친구문제,친구사귀기가힘들어새학기가되는것이싫어요,"저는 새학기가 되는 것이 싫습니다. 친구 사귀기가 너무 힘들거든요. 남자가 뭐 그러냐고 하실지 모르겠지만 제가 먼저 친구에게 다가가서 친해지는 것도 힘들고, 그렇다고 친구들이 저에게 먼저 다가 오지도 않아요. 학교에서 말을 하고 지내는 친구는 있지만 학교 밖에서 함께 다닐 수 있는 친구는 거의 없어요. 그래서 학교생활도 별로 재미있지 않아요. "
친구문제,부모님께서친구를가려서사귀라고하세요,고등학교 2학년 남학생입니다. 저는 같은 반 친구들과 모두 친하게 지내는 편으로 날라리라고 하는 아이들과도 가깝게 지냅니다. 그 친구들을 가끔 집에 데려 오기도 하는데 부모님께서는 저에게 그런 친구들과 가깝게 지내지 말라고 하십니다. 저는 친구를 가려서 사귀고 싶 지 않은데 제가 잘못된 것일까요? 
친구문제,친구가용납이안돼요,저는 지금 현재 대학교에 등록까지한 학생입니다. 저에겐 지금 친구가 많은데 그 친구들 중 지금 제가 제일 걱정하는 친구에 대한 것을 올립니다. 그러니 꼭 답장을 주세요. 다른 친구에 대한 것도 있지만 이것만 올립니다. 제 친구는 지금 자신의 친구를 속이면서까지 자신의 이익을 생각하고 있는데 이건 저의 생각으로는 용납이 안돼요. 지금 제 심정으론 아무리 친구라도 패는 거로써 고칠 수만 있다면 고쳐주고 싶습니다. 제발 제가 어떻게 해야할지... 
친구문제,친구가없어외로워요,안녕하십니까? 전 고등학교 2학년 남학생입니다. 태어나서 지금까지 진짜로 있는 제 친구는 10명도 안됩니다. 어쩌면 제가 친구 사귀기를 꺼려했는지도 모릅니다. 그리고 제가 무엇이 모자라는지는 잘 모르겠지만 친구들이 저를 회피하는 것 같습니다. 그러다 보니 얼굴도 안 보이고 서로 모르는 사이에서도 즐겁게 지낼 수 있는 채팅에 손을 넣게 되었습니다. 그러나 외로움을 달랠 방법은 그 어디에도 없더군요. 그래서 이제 외딴 곳에서 서로 모르는 친구를 사귀며 놀려고 했지만 아는 사람들의 귀뜸으로 인해서 또 멀어져만 갑니다. 어쩌면 좋겠습니까? 도움을 바랍 니다. 
친구문제,친구가자꾸때려요,저는 중2 남학생입니다. 다름이 아니라 친구가 자꾸 때립니다. 한두 번이 아니에요. 같이 싸우면 공부에 지장이 많고 해서 꾹 참 았지만 정말 죽겠어요. 누구한테 말도 못하고요. 개학날이 싫어요. 
친구문제,동성애와이성애를동시에느낍니다,고등학교 남학생입니다. 약간 어렸을 때부터 이성에 관심이 많았는데요. 야한책도 즐겨보고.. 여자 친구도 많았고 남자 친구도 많았었어요. 그런데 고등학교때 같은 학교에 다니는 한 아이를 봤을 때 조금 야릇한 느낌을 받았어요. 알고보니 그 아이가 게이라는 거에요. 실제로 그 아이는 걸음걸이도 행동도 생긴 것도 여자 같았어요. 2학년 올라와서 그애 친구랑 알게 됐는데 진짜로 여자같이 행동합니다. 전 장난같은 기분이 점점 진지해져만 갔어요. 그 상태로 지금까지 지내고 있어요. 그 애도 이젠 저를 의식해요. 친해질 기회도 많았는데 이상하게 그애한데는 말을 못 걸겠어요. 처음보는 여자랑도 잘 친해지는 제가요... 어떻게 해야 하나요? 그렇다고 그애만 절대적으로 좋아하는것도 아니예요. 이성에 대한 좋아하는 마음이 수시로 바뀌는 저예요. 그런데 그애는 언제나 그 마음이 조금이든 많이든 저를 차지하고 있어요. 정말 고민이예요.
친구문제,불량한친구가괴롭혀요,"남자 중학생이다. 같은 반의 친구가 수업시간, 쉬는 시간에 자꾸 장난을 걸고 집적거리고 괴롭힌다. 한대 패주고 싶은 생각이 굴뚝같지만 그 친구는 학교 바깥의 불량서클과 관계가 있어서 감히 그렇게 할 수도 없고 속만 터진다. 그 친구 때문에 학교가기가 싫을 정도이다. 어떻게 해야 할까? "
친구문제,친구사귀는데성격이문제,"나는 내 성격 때문에 고민이 많다. 남들은 제 성격이 차고 쌀쌀맞다고 그런다. 그래서 나는 친한 친구도 없고, 점심 시간에 혼자 밥 먹을 땐 너무너무 창피하다. 다른 아이들이 끼리끼리 어울려 돌아 다니고, 편지도 서로 주고 받는 걸 보면 너무 부럽다. 친구들이랑 어울려서 이야기도 하고 놀구도 싶지만 무슨 이야기를 어떻게 해야 할지도 잘 모르겠다. 친구들이랑 잘 사귀지 못하는 것은 나의 성격 때문인 것 같다. 성격을 고쳐서 친구들이랑 잘 어울리고, 학교 생활이 즐거웠으면 좋겠는데 어떻게 해야 할까?"
친구문제,친구들의무시,얼마전 수업시간에 선생님의 질문에 답하지 못했다. 그 뒤부터 다른 애들이 나를 무시하는 것만 같다. 공부를 잘하는 애들에게 뭐를 물어봐도 잘 설명해 주지 않고 자기내들 끼리만 다닌다. 그럴 때마다 내가 그때 수업시간에 대답을 잘 못해서 애들이 나를 무시하는 것이라는 생각이 든다. 앞으로 공부를 열심히 해서 애들로부터 그런 수모를 겪지 않도록 해야되는 것은 알지만 당장은 아이들의 그런 태도 때문에 분하고 속이 상한다.
학업문제,시험때만되면지나치게긴장됩니다,"저는 여고 2학년입니다. 평소 덜렁댄다는 얘기를 자주 듣는데 특히 시 험 준비를 할 때면 긴장되어 차분하게 공부하지 못하고 손발을 가만두 지 못합니다. 또 몸을 이리저리 움직이고 나도 모르게 소리를 지르는 경우도 있습니다. 다가올 시험에 대비해 긴장해서 공부를 해야 하는데 그래서인지 시험결과는 늘 엉망으로 나옵니다. 마음속으로는 '할 수 있다, 해야 한다' 생각하고 차분히 공부하려 하지만 결국엔 나를 통제 하지 못합니다. "
학업문제,늦도록공부해도잡념만가득합니다,저는 공고 3학년입니다. 지금은 학교에서 실습만 하고 있습니다. 학교 끝나면 바로 학원에 가죠. 집에 오면 밤 10시예요. 전 중학교때 꼴지에서 3등이었어요. 고등학교 와서는 성적이 나아졌지만 기초가 없으니까 무엇을 해야될 지 어떻게 해야될 지 모르겠어요. 성적은 그리 나쁜건 아니지만 공부가 잘 안됩니다. 어떻게 공부를 해 야 대학을 갈 수 있을까요? 공부를 잘하는 방법은 없을까요? 밤늦 게 공부를 해도 머리에 잡념이 생겨 잘 안됩니다. 또 혼자 있으면 망 상에다 공상에다 저질쪽으로만 생각이 나고 지금은 너무나 문제점이 많 아요. 또 어떨 때는 여자 친구와 성관계도 갖고 싶고 저도 이러면 안 되는 줄 알지만 생각이 자주 납니다. 이런 생각들 때문에 공부가 안되 는 것일까요? 
학업문제,시험불안?,"대학입시를 앞둔 고등학교 3학년 학생입니다. 제가 원하는 대학에 꼭 합격하려고 열심히 노력하고 있습니다. 그런데 언제부턴가 시험 생각만 하면 가슴이 답답해지고, 머리가 아프기 시작하는 것입니다. 책상 앞에 앉아 책을 보노라면 어느 새 생각이 다른 곳에 가 있어 그냥 시간만 보 내기 일쑤입니다. 이러다 혼자만 뒤처지는게 아닌가 싶어 불안하기만 합니다. 무슨 해결책이 없을까요? "
학업문제,작심삼일이겨내는법,"중학교 재학중인 남학생으로서 요즈음 들어 공부가 하기 싫고 매사가 귀챦기만 하다. 자꾸 TV가 보고 싶어지며, 전자오락에 관심이 많기 때문에 주의집중이 안되서 괴롭고 짜증이 난다. 어떻게 공부에만 집중할 수 있는 좋은 방법이 없을까? TV와 전자오락을 안하려고 몇번 시도해 보았지만 작심삼일이다."
학업문제,잡념때문에공부가잘안돼요,저는 현재 직장을 그만 두고 대학 입시 준비를 하고 있습니다. 그런데 자신이 없어 걱정이에요. 공부를 잘하다가도 잡념 때문에 팬을 놓고 멍하니 앉아있을 때가 많습니다. 물론 그러고 나면 공부 하기가 더 힘들고 짜증이 나지요. 만일 이번 공부가 실패로 돌아가 면 어떻게 해야할 지도 모르겠습니다. 
학업문제,어떻게해야수업중에안졸까요?,"저는 올해 고등학교에 입학한 남학생입니다. 전 초등학교, 중 학교 때 푼수짓을 많이 해서 아이들의 놀림을 많이 받았지요. 그래 서 '고교 시절만은 그렇게 되지 않으리라' 결심했습니다. 그런데 고교 생활의 평온도 잠시뿐, 저는 수업 시간의 졸음 때문에 다시 아이들의 놀림감이 될 위기에 처했습니다. 친구들은 제가 졸 때면 늘 ""**아, 일어나서 밥 먹고 학교 가야 지"" 하며 절 놀립니다. 수면 시간도 밤 11시부터 아침 6시까지로 충분합니다. 요즘은 물파스를 휴대하고 다닐 정도가 되었지만 소용 없습니다. 또 수업 시간에 맨발로 수업을 듣거나 쉬는 시간에 세수를 하는 등 여러 가지 방법을 써 보았지만 죄다 소용없었습니다. 도와주십시오. 이렇게 되다간 평생 놀림감이 될 것 같습니다. 저의 졸음을 퇴치할 수 있는 방법을 가르쳐 주세요. "
